NDVI_combined,city,reanalysis_air_temp_k,reanalysis_air_temp_k_lag2,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag2,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag2,reanalysis_tdtr_k,reanalysis_tdtr_k_lag2,station_precip_mm,station_precip_mm_lag2,total_cases,weekofyear,sin_week,cos_week,total_cases_log,temp_ma4,humidity_ma4
0.1481233013,1,297.572857143,297.572857143,295.9,295.9,14.0128571429,14.0128571429,2.62857142857,2.62857142857,16.0,16.0,4,18,0.8229838658936566,-0.5680647467311556,1.6094379124341003,297.572857143,14.0128571429
0.1576267942999999,1,298.211428571,297.892142857,296.4,296.15,15.3728571429,14.6928571429,2.37142857143,2.5,8.6,12.3,5,19,0.7485107481711014,-0.663122658240795,1.791759469228055,297.892142857,14.6928571429
0.1289009048,1,298.781428571,297.572857143,297.3,295.9,16.8485714286,14.0128571429,2.3,2.62857142857,41.4,16.0,4,20,0.6631226582407951,-0.7485107481711012,1.6094379124341003,298.1885714283333,15.411428571466667
0.2056580096999999,1,298.987142857,298.211428571,297.0,296.4,16.6728571429,15.3728571429,2.42857142857,2.37142857143,4.0,8.6,3,21,0.5680647467311557,-0.8229838658936565,1.3862943611198906,298.3882142855,15.726785714325
0.23705436,1,299.518571429,298.781428571,297.5,297.3,17.21,16.8485714286,3.01428571429,2.3,5.8,41.4,6,22,0.464723172043769,-0.8854560256532095,1.9459101490553132,298.874642857,16.526071428599998
0.152610037956,1,299.63,298.987142857,298.1,297.0,17.2128571429,16.6728571429,2.1,2.42857142857,39.1,4.0,2,23,0.3546048870425359,-0.9350162426854147,1.0986122886681096,299.22928571425,16.9860714286
0.1523916866,1,299.207142857,299.518571429,297.7,297.5,17.2342857143,17.21,2.04285714286,3.01428571429,29.7,5.8,4,24,0.2393156642875577,-0.9709418174260522,1.6094379124341003,299.33571428575,17.082500000025
0.1047806154,1,299.591428571,299.63,298.4,298.1,17.9771428571,17.2128571429,1.57142857143,2.1,21.1,39.1,5,25,0.12053668025532308,-0.9927088740980538,1.791759469228055,299.48678571425,17.408571428575
0.123447101,1,299.578571429,299.207142857,297.7,297.7,17.79,17.2342857143,1.88571428571,2.04285714286,21.1,29.7,10,26,-3.216245299353273e-16,-1.0,2.3978952727983707,299.50178571425,17.553571428574998
0.1396397113,1,300.154285714,299.591428571,298.7,298.4,18.0714285714,17.9771428571,2.01428571429,1.57142857143,1.1,21.1,6,27,-0.12053668025532283,-0.992708874098054,1.9459101490553132,299.63285714275,17.7682142857
0.1551461879,1,299.512857143,299.578571429,298.0,297.7,17.4185714286,17.79,2.15714285714,1.88571428571,63.7,21.1,8,28,-0.2393156642875575,-0.9709418174260523,2.197224577336219,299.70928571425003,17.814285714275
0.2709645418,1,299.667142857,300.154285714,297.3,298.7,17.7371428571,18.0714285714,2.41428571429,2.01428571429,12.2,1.1,2,29,-0.3546048870425357,-0.9350162426854148,1.0986122886681096,299.72821428575,17.754285714275
0.1882801462,1,299.558571429,299.512857143,297.1,298.0,17.3414285714,17.4185714286,2.07142857143,2.15714285714,32.6,63.7,6,30,-0.46472317204376806,-0.88545602565321,1.9459101490553132,299.72321428575003,17.642142857125002
0.257450490256,1,299.862857143,299.667142857,298.3,297.3,17.5942857143,17.7371428571,2.58571428571,2.41428571429,37.6,12.2,17,31,-0.5680647467311556,-0.8229838658936566,2.8903717578961645,299.650357143,17.52285714285
0.102213872936,1,300.391428571,299.558571429,298.8,297.1,17.95,17.3414285714,2.32857142857,2.07142857143,11.4,32.6,23,32,-0.663122658240795,-0.7485107481711014,3.1780538303479453,299.87,17.6557142857
0.1270349369,1,299.958571429,299.862857143,298.5,298.3,18.5157142857,17.5942857143,1.85714285714,2.58571428571,44.7,37.6,13,33,-0.7485107481711012,-0.6631226582407952,2.6390573296152584,299.94285714299997,17.85035714285
0.1753579015,1,300.332857143,300.391428571,298.1,298.8,18.1742857143,17.95,2.48571428571,2.32857142857,5.4,11.4,21,34,-0.8229838658936565,-0.5680647467311558,3.0910424533583156,300.1364285715,18.058571428575
0.2822007832,1,300.118571429,299.958571429,298.7,298.5,18.5157142857,18.5157142857,1.9,1.85714285714,13.7,44.7,28,35,-0.8854560256532095,-0.46472317204376906,3.3672958299864737,300.200357143,18.288928571425
0.2356128371,1,300.53,300.332857143,298.0,298.1,17.56,18.1742857143,3.47142857143,2.48571428571,14.2,5.4,24,36,-0.9350162426854146,-0.35460488704253595,3.2188758248682006,300.23500000025,18.191428571425
0.208064101,1,300.674285714,300.118571429,299.0,298.7,18.7771428571,18.5157142857,2.9,1.9,25.9,13.7,20,37,-0.9709418174260522,-0.2393156642875578,3.044522437723423,300.4139285715,18.256785714275
0.2330743086,1,299.857142857,300.53,298.7,298.0,17.8928571429,17.56,1.74285714286,3.47142857143,3.3,14.2,40,38,-0.9927088740980539,-0.12053668025532357,3.7135720667043075,300.29499999999996,18.186428571425
0.2020650653,1,300.427142857,300.674285714,299.1,299.0,17.4685714286,18.7771428571,2.25714285714,2.9,15.8,25.9,27,39,-1.0,-1.8369701987210297e-16,3.332204510175204,300.372142857,17.92464285715
0.2083722933,1,300.775714286,299.857142857,299.1,298.7,18.18,17.8928571429,2.9,1.74285714286,11.7,3.3,42,40,-0.9927088740980539,0.12053668025532321,3.7612001156935624,300.4335714285,18.07964285715
0.1438692822999999,1,299.857142857,300.427142857,298.1,299.1,18.5128571429,17.4685714286,2.57142857143,2.25714285714,57.7,15.8,33,41,-0.9709418174260523,0.2393156642875574,3.526360524616161,300.22928571424995,18.0135714286
0.104187697356,1,299.195714286,300.775714286,297.5,299.1,18.1157142857,18.18,1.87142857143,2.9,61.8,11.7,43,42,-0.9350162426854148,0.3546048870425356,3.784189633918261,300.0639285715,18.0692857143
0.1227753134,1,298.902857143,299.857142857,297.2,298.1,17.75,18.5128571429,1.8,2.57142857143,91.5,57.7,37,43,-0.88545602565321,0.464723172043768,3.6375861597263857,299.682857143,18.13964285715
0.2602921918,1,299.727142857,299.195714286,298.5,297.5,18.0342857143,18.1157142857,1.78571428571,1.87142857143,6.3,61.8,57,44,-0.8229838658936571,0.5680647467311547,4.060443010546419,299.42071428575,18.103214285725002
