city,year,weekofyear,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,precipitation_amt_mm_lag1,precipitation_amt_mm_lag2,reanalysis_air_temp_k_lag1,reanalysis_air_temp_k_lag2,reanalysis_avg_temp_k_lag1,reanalysis_avg_temp_k_lag2,reanalysis_specific_humidity_g_per_kg_lag1,reanalysis_specific_humidity_g_per_kg_lag2,reanalysis_relative_humidity_percent_lag1,reanalysis_relative_humidity_percent_lag2,ndvi_mean,ndvi_var,ndvi_mean_lag1,ndvi_mean_lag2,total_cases
0,2000,26,25.41,296.74,298.45,295.1842857,307.3,293.1,43.19,92.41857143,25.41,16.65142857,8.928571429,26.4,10.775,32.5,20.7,3,0,0,0,0,0,0,0,0,0,0,0.228307125,0.007837054,0,0,0
0,2000,27,60.61,296.6342857,298.4285714,295.3585714,306.6,291.1,46,93.58142857,60.61,16.86285714,10.31428571,26.9,11.56666667,34,20.8,55.6,25.41,0,296.74,0,298.45,0,16.65142857,0,92.41857143,0,0.256011875,0.001087712,0.228307125,0,0
0,2000,28,55.52,296.4157143,297.3928571,295.6228571,304.5,292.6,64.77,95.84857143,55.52,17.12,7.385714286,26.8,11.46666667,33,20.7,38.1,60.61,25.41,296.6342857,296.74,298.4285714,298.45,16.86285714,16.65142857,93.58142857,92.41857143,0.170503575,0.000993672,0.256011875,0.228307125,0
0,2000,29,5.6,295.3571429,296.2285714,292.7971429,303.6,288.6,23.96,87.23428571,5.6,14.43142857,9.114285714,25.76666667,10.53333333,31.5,14.7,30,55.52,60.61,296.4157143,296.6342857,297.3928571,298.4285714,17.12,16.86285714,95.84857143,93.58142857,0.206917875,0.002164408,0.170503575,0.256011875,0
0,2000,30,62.76,296.4328571,297.6357143,293.9571429,307,291.5,31.8,88.16142857,62.76,15.44428571,9.5,26.6,11.48,33.3,19.1,4,5.6,55.52,295.3571429,296.4157143,296.2285714,297.3928571,14.43142857,17.12,87.23428571,95.84857143,0.31654645,0.002007718,0.206917875,0.170503575,0
0,2000,31,16.24,297.1914286,298.2857143,291.7257143,306.2,288.5,1,74.72857143,16.24,13.42142857,13.77142857,25.34,10.94,32,17,11.5,62.76,5.6,296.4328571,295.3571429,297.6357143,296.2285714,15.44428571,14.43142857,88.16142857,87.23428571,0.22081785,0.000815071,0.31654645,0.206917875,0
0,2000,32,89.37,297.32,298.9785714,293.8214286,308.8,292.1,26.68,83.27571429,89.37,15.31142857,11.47142857,27.01666667,11.65,34,19.9,72.9,16.24,62.76,297.1914286,296.4328571,298.2857143,297.6357143,13.42142857,15.44428571,74.72857143,88.16142857,0.352582125,0.001368623,0.22081785,0.31654645,0
0,2000,33,42.08,297.6271429,299.3357143,293.9928571,307.9,290.6,16.9,82.49,42.08,15.46571429,13.7,26.58333333,10.31666667,33,20.5,50.1,89.37,16.24,297.32,297.1914286,298.9785714,298.2857143,15.31142857,13.42142857,83.27571429,74.72857143,0.375225825,0.000514687,0.352582125,0.22081785,0
0,2000,34,49.22,298.2385714,299.5714286,292.9042857,310.1,291.3,5.59,74.74,49.22,14.44428571,13.77142857,26.9,13.4,34,19,89.2,42.08,89.37,297.6271429,297.32,299.3357143,298.9785714,15.46571429,15.31142857,82.49,83.27571429,0.3599357,0.003071684,0.375225825,0.352582125,0
0,2000,35,53.65,299.2185714,300.9285714,293.4728571,310.5,292.9,16.07,74.15142857,53.65,15.05714286,12.45714286,27.11666667,12.26666667,34,20,78,49.22,42.08,298.2385714,297.6271429,299.5714286,299.3357143,14.44428571,15.46571429,74.74,82.49,0.32299285,5.25E-05,0.3599357,0.375225825,0
