iter	Passed	Remaining
0	53	10746311	85	8548722	125	83723	3	169	84474	4	208	83205	5	253	84346	6	297	84677	7	335	83598	8	379	83979	9	419	83491010	450	81531111	488	80991212	551	84271313	576	81821414	614	81301515	650	80721616	683	79711717	731	80491818	750	782519	808	80008
20	839	79072
21	891	80118
22	940	80837
23	974	80273
24	1029	81318
25	1075	81648
26	1109	81083
27	1138	80209
228	1170	79583229	1205	7917030	1259	80017
331	1288	79257332	1319	78634333	1365	7894334	1411	79270
335	1436	78395336	1474	78235337	1512	7811238	1582	79580
339	1609	7884440	1669	79751
41	1715	79972
42	1777	80885
43	1801	80085
44	1846	80199
45	1888	80208
46	1937	80528
47	1978	80440
48	2036	81076
49	2066	80587
50	2090	79885
51	2139	80140
552	2163	79486553	2192	79029554	2228	78824555	2269	78790556	2322	79161557	2356	78896558	2395	78808559	2442	78980
60	2493	79268
61	2521	78828
62	2557	78643
63	2590	78375664	2619	77992665	2685	78696
66	2718	78417
67	2765	78576
68	2815	78786
69	2858	78814
70	2896	78706
71	2935	78610
72	2976	78566
73	3007	78286
74	3058	78494
75	3087	78157
76	3126	78084
77	3158	77835
78	3189	77558
79	3227	77465
80	3258	77202
81	3306	77337
82	3351	77412
83	3407	77733
84	3435	77407
85	3464	77111
86	3494	76848
87	3524	76567
88	3553	76300
89	3599	76395
90	3632	76200
91	3674	76195
92	3698	75835
93	3746	75973
94	3784	75894
95	3820	75767
96	3853	75602
97	3903	75759
98	3962	76087
99	3985	75729
100	4018	75558
101	4054	75452
102	4087	75287
103	4111	74951
104	4134	74621
105	4165	74434
106	4188	74093
107	4208	73718
108	4242	73605
109	4267	73326
110	4288	72975
111	4310	72670
112	4325	72239
113	4347	71922
114	4367	71587
115	4387	71260
116	4410	70982
117	4430	70659
118	4450	70353
119	4478	70157
120	4507	69993
121	4530	69744
122	4550	69440
123	4574	69201
124	4595	68929
125	4611	68583
126	4633	68340
127	4646	67954
128	4663	67633
129	4683	67371
130	4700	67069
131	4715	66733
132	4730	66408
133	4745	66078
134	4763	65807
135	4778	65498
136	4794	65193
137	4807	64867
138	4826	64618
139	4849	64431
140	4872	64242
141	4887	63950
142	4902	63657
1143	4975	641241144	4995	639021145	5017	637111146	5037	635051147	5059	633081148	5076	630671149	5093	628211150	5111	625911151	5133	62412
152	5151	62183
153	5170	61984
154	5192	618115155	5212	616115156	5229	613915157	5249	612015158	5269	610115159	5287	608016160	5307	606116161	5326	6042162	5299	59722
163	5320	59564
164	5339	59385
165	5357	59193
166	5378	59039
16167	5440	593316168	5460	591616169	5482	590117170	5505	588817171	5524	587117172	5542	5853173	5520	57936
174	5544	57817
175	5561	57641
176	5580	57473
177	5604	57363
178	5628	57257
179	5649	57118
180	5669	56981
181	5689	56831
182	5716	56763
183	5732	56575
184	5750	56419
185	5769	56272
186	5789	56130
187	5809	55998
188	5831	55875
189	5849	55723
190	5863	55535
191	5884	55415
192	5904	55279
193	5930	55212
194	5948	55064
195	5971	54961
196	5994	54861
197	6012	54718
198	6032	54599
199	6049	54448
200	6066	54295
201	6083	54152
202	6103	54031
203	6123	53913
204	6144	53797
205	6171	53748
206	6189	53616
207	6209	53494
208	6232	53411
209	6255	53323
210	6278	53231
211	6300	53138
212	6321	53038
213	6340	52914
214	6356	52774
215	6373	52643
216	6391	52514
217	6409	52393
218	6433	52318
219	6448	52174
220	6467	52061
221	6485	51941
222	6505	51838
223	6523	51718
224	6538	51581
225	6555	51459
226	6572	51333
227	6586	51192
228	6600	51046
229	6619	50939
230	6638	50837
231	6655	50723
232	6670	50590
233	6689	50484
234	6709	50391
235	6726	50274
236	6744	50172
237	6759	50040
238	6771	49890
239	6788	49783
240	6802	49647
241	6817	49523
242	6830	49387
243	6849	49296
244	6868	49199
245	6884	49084
246	6899	48965
247	6913	48842
248	6927	48716
249	6950	48654
250	6973	48590
251	6998	48547
252	7014	48433
253	7028	48316
254	7043	48199
255	7061	48105
256	7077	48002
257	7101	47950
258	7122	47878
259	7140	47787
260	7162	47721
261	7186	47672
262	7210	47623
